sentiment,avg_pnl,median_pnl,win_rate,trades
Extreme Fear,1.8916322231298366,0.0,0.2927773000859845,2326
Extreme Greed,205.81634505888633,0.96048,0.5532823341042519,5621
Fear,128.28795029591174,0.0,0.381786718581008,13869
Greed,53.988003244420824,0.0,0.4357066950053135,11292
Neutral,27.08880333091437,0.0,0.4949201741654572,2756
