date,Account,pnl
2023-01-05,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2023-05-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-01-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409
2024-01-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939
2024-01-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467
2024-01-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-01-06,0x8477e447846c758f5a675856001ea72298fd9cb5,91.510419
2024-01-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1202.488212
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3863.351096
2024-01-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2024-01-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-01-08,0x8477e447846c758f5a675856001ea72298fd9cb5,167.080017
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0
2024-01-09,0x8477e447846c758f5a675856001ea72298fd9cb5,137.433093
2024-01-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0
2024-01-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,-0.09906000000000104
2024-01-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1040.5747959999999
2024-01-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0
2024-01-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4458.25495
2024-01-12,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,13.566929
2024-01-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,0.0
2024-01-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,197.422418
2024-01-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,337.835516
2024-01-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.0
2024-01-12,0x8477e447846c758f5a675856001ea72298fd9cb5,1169.432253
